合约名称,开仓时间,开仓价格,开仓方向,平仓时间,平仓价格,价差,胜率
pb1810_1min.csv,2018-07-23 10:31:00,18060.0,1,2018-07-23 13:35:00,18110.0,50.0,1
pb1810_1min.csv,2018-08-21 09:01:00,17480.0,-1,2018-08-21 09:05:00,17480.0,-0.0,0
pb1810_1min.csv,2018-08-21 10:31:00,17460.0,1,2018-08-21 10:35:00,17475.0,15.0,1
pb1810_1min.csv,2018-08-23 10:31:00,17875.0,1,2018-08-23 10:35:00,17880.0,5.0,1
pb1810_1min.csv,2018-08-31 09:01:00,18515.0,1,2018-08-31 09:05:00,18550.0,35.0,1
pb1810_1min.csv,2018-09-18 21:01:00,18725.0,-1,2018-09-18 21:12:00,18710.0,15.0,1
