合约名称,开仓时间,开仓价格,开仓方向,平仓时间,平仓价格,价差,胜率
pb1806_1min.csv,2018-05-09 21:01:00,18930.0,1,2018-05-09 21:05:00,18945.0,15.0,1
pb1806_1min.csv,2018-05-16 21:01:00,19335.0,1,2018-05-16 21:05:00,19380.0,45.0,1
