合约名称,开仓时间,开仓价格,开仓方向,平仓时间,平仓价格,价差,胜率
pb1809_1min.csv,2018-06-22 21:01:00,19370.0,-1,2018-06-22 21:05:00,19455.0,-85.0,0
pb1809_1min.csv,2018-07-04 21:01:00,19390.0,1,2018-07-04 21:05:00,19420.0,30.0,1
pb1809_1min.csv,2018-07-25 09:01:00,18720.0,-1,2018-07-25 09:06:00,18710.0,10.0,1
pb1809_1min.csv,2018-07-30 13:31:00,18440.0,1,2018-07-30 13:35:00,18420.0,-20.0,0
pb1809_1min.csv,2018-08-13 09:01:00,18295.0,1,2018-08-13 09:05:00,18330.0,35.0,1
pb1809_1min.csv,2018-08-17 10:31:00,17665.0,-1,2018-08-17 10:35:00,17660.0,5.0,1
