合约名称,开仓时间,开仓价格,开仓方向,平仓时间,平仓价格,价差,胜率
pb1808_1min.csv,2018-06-20 09:01:00,19690.0,-1,2018-06-20 09:05:00,19725.0,-35.0,0
pb1808_1min.csv,2018-07-23 09:01:00,18865.0,-1,2018-07-23 09:05:00,18880.0,-15.0,0
